time,vis_est
37.512,0.0206724556985
37.556,0.0188116894163
37.6,0.0177806000203
37.6,0.0177092540842
37.648,0.0172785643671
37.669,0.0172873240859
37.712,0.0174142244565
37.76,0.0175558645551
37.804,0.0170185507591
37.848,0.0153839948483
37.848,0.0130445737475
37.896,0.0112744418796
37.913,0.0100247473263
37.956,0.008812253687
38.0,0.00865996648943
38.044,0.00955182896415
38.088,0.011581559756
38.132,0.0137558386238
38.132,0.0159061223294
38.176,0.0165122414781
38.207,0.0174818724369
38.247,0.0185099700281
38.292,0.018276539261
38.336,0.0182526064074
38.379,0.0186990015125
38.423,0.0202074399608
38.423,0.0202422294478
38.467,0.0193003688308
38.489,0.0187494715951
38.531,0.0189247146777
38.575,0.0194261002155
38.619,0.0197614598333
38.667,0.0194879845805
38.667,0.018741665224
38.711,0.0184303590294
38.736,0.0183976426545
38.779,0.0178348701945
38.823,0.0180545549279
38.871,0.0188555031692
38.915,0.0194724077969
38.915,0.0196253767777
38.959,0.0200427872591
38.981,0.0204276729862
39.022,0.0203396067556
39.067,0.0209722293771
39.111,0.0215052117645
39.155,0.021579760883
39.198,0.0217959106091
39.198,0.0222485520361
39.243,0.0222904935223
39.265,0.0231335599627
39.306,0.0234541484424
39.35,0.0237213086785
39.394,0.0241766611872
39.438,0.0244818349663
39.482,0.0250247951033
39.482,0.0254819865483
39.526,0.0262106343343
39.549,0.0253210389018
39.59,0.0260452605806
39.634,0.0265832527548
39.678,0.0269632602518
39.722,0.0271911721853
39.766,0.0271270298654
39.766,0.0272154119654
39.81,0.0276554829136
39.831,0.026845579851
39.873,0.0265478905455
39.917,0.0262705279334
39.961,0.0261572404104
40.005,0.0254488251127
40.049,0.0246703673827
40.049,0.0242824842521
40.093,0.0236670737044
40.116,0.0233749599107
40.157,0.0241696414228
40.201,0.0252978177625
40.245,0.0258983764868
40.289,0.0256631566843
40.333,0.0262583011177
40.333,0.0267766477484
40.377,0.0262784420318
40.399,0.0258210151232
40.441,0.0251325175451
40.485,0.0248258757132
40.529,0.0244918328246
40.573,0.0233106055205
40.617,0.0224075747794
40.617,0.0223556691861
40.661,0.0222823691578
40.681,0.0217115228835
40.725,0.021335582471
40.769,0.0208694400402
40.812,0.0203676195536
40.856,0.0203612192984
40.856,0.0200214805114
40.9,0.0187617924205
40.929,0.0174583691437
40.971,0.016334114456
41.016,0.0154529733515
41.06,0.0140922994221
41.107,0.0141693723405
41.107,0.0151696976784
41.151,0.0170028692829
41.175,0.0203447919126
41.215,0.0224715275504
41.259,0.024056824027
41.303,0.0250964572216
41.347,0.0263993046193
41.391,0.0269740842091
41.391,0.0278912089385
41.435,0.0277217884989
41.454,0.026289218272
41.495,0.0267986128264
41.539,0.0281451064926
41.583,0.0297591574489
41.627,0.03047048111
41.671,0.0319214746101
41.715,0.0334986728559
41.715,0.0353271339318
41.759,0.0362903520892
41.78,0.0360456915203
41.823,0.0355354610241
41.867,0.0339593846634
41.91,0.0339974080208
41.954,0.032839318197
41.998,0.0316406298041
41.998,0.0307271835503
42.042,0.0302052612683
42.059,0.0316452644246
42.102,0.0323893770231
42.15,0.0330962872585
42.194,0.0329382917145
42.238,0.0331242644333
42.238,0.0346930124842
42.282,0.0370797538662
42.302,0.0406957844341
42.342,0.0446600183857
42.386,0.0491111255533
42.434,0.0523555855511
42.478,0.0540029269753
42.522,0.0538238918352
42.522,0.0539225583478
42.569,0.0568990773734
42.592,0.0601964851623
42.634,0.0619978521272
42.681,0.0626792587295
42.725,0.0636876924117
42.769,0.0646483876703
42.813,0.065970275633
42.813,0.0673649315187
42.857,0.0685126693144
42.873,0.0686020262782
42.917,0.0692142406128
42.961,0.0705473783786
43.009,0.072325276844
43.053,0.0745894891631
43.053,0.0774295968417
43.097,0.0784820456386
43.118,0.0785076417017
43.161,0.0780559828172
43.205,0.078423179239
43.249,0.0782515980714
43.293,0.0784839651337
43.335,0.0783811278941
43.379,0.079079025193
43.379,0.0796069808143
43.423,0.0790727732186
43.44,0.0785138500673
43.483,0.0779167228398
43.527,0.0787765552844
43.571,0.0802890147651
43.615,0.081347982018
43.615,0.0821574310653
43.659,0.0831527929925
43.684,0.0842141796465
43.727,0.0859296770134
43.771,0.0866034735321
43.814,0.087137664983
43.858,0.0871129971851
43.858,0.0863320156466
43.902,0.0858651110643
43.923,0.0851107139159
43.966,0.0846903612337
44.01,0.0846245716881
44.054,0.0834424429368
44.098,0.0813832456454
44.142,0.0806667535322
44.142,0.0797805150072
44.186,0.0792746036686
44.208,0.0792775839804
44.25,0.0804536086617
44.294,0.0822999665816
44.338,0.0847824243961
44.381,0.0867559198616
