1,0.69544,306.19
2,0.63673,281.75
3,0.63673,164.15
4,0.51121,110.59
5,0.51121,139.57
6,0.36635,89.711
7,0.36635,25.539
8,0.35981,31.569
9,0.35981,13.32
10,0.33685,9.7432
11,0.33685,62.837
12,0.32439,16.491
13,0.32439,25.631
14,0.32439,34.429
15,0.32439,20.9
16,0.32439,31.21
17,0.32439,25.666
18,0.32365,44.332
19,0.32365,63.29
20,0.32313,59.606
21,0.32313,24.096
22,0.32313,9.3391
23,0.32313,18.239
24,0.32313,7.909
25,0.32313,34.206
26,0.32313,11.537
27,0.32313,19.229
28,0.32313,58.891
29,0.32313,21.901
30,0.32313,1.9842
31,0.32313,29.108
32,0.32313,49.039
33,0.32313,18.158
34,0.32313,90.322
35,0.32313,13.169
36,0.32313,7.8872
37,0.32313,46.254
38,0.32313,16.014
39,0.32313,1.2735
40,0.32313,1.5365
41,0.32313,4.8932
42,0.32313,59.086
43,0.32313,46.118
44,0.32313,16.645
45,0.32313,25.442
46,0.32313,0.8215
47,0.32313,15.448
48,0.32313,1.7245
49,0.32312,1.4731
50,0.32311,14.5
