time,bl_est
37.518,0.0884207833563
37.594,0.0807507677868
37.681,0.0778136644804
37.707,0.0761275369979
37.796,0.0729093658572
38.086,0.0714949927409
38.101,0.0697688075586
38.101,0.0677126021848
38.101,0.0666306436286
38.125,0.064703455068
38.193,0.0626252221407
38.262,0.0581838800441
38.351,0.0550034610001
38.427,0.0566731533351
38.483,0.055347939573
38.543,0.0550755419011
38.604,0.0547438375657
38.675,0.0579292776896
38.696,0.057740098833
38.741,0.0572348385607
38.815,0.0564678229455
38.876,0.0567044322772
38.929,0.0564295393531
38.976,0.056415960125
39.051,0.0564692762365
39.103,0.0561081135044
39.177,0.0561482052858
39.219,0.0560704424756
39.275,0.0545667474567
39.342,0.054561538432
39.389,0.0546644459648
39.555,0.0540325707454
39.555,0.0540773240608
39.612,0.0542625177516
39.663,0.0513614976798
39.733,0.050879983351
39.813,0.0505187156312
39.868,0.0503417850892
39.909,0.0479619966168
39.968,0.0477929583854
40.022,0.0476652077048
40.062,0.0474448798379
40.131,0.0451211108453
40.157,0.0442007920264
40.195,0.0433835784251
40.3,0.0425687379174
40.351,0.0432143493802
40.492,0.0410708267642
40.512,0.0400843311232
40.576,0.0396364012989
40.6,0.0388125477968
40.944,0.0372816309891
40.98,0.0380083274916
41.077,0.0376944195767
41.23,0.0372475205301
41.301,0.0378960320468
41.408,0.0392363916357
41.499,0.0399456257723
41.57,0.0342928135063
41.607,0.0348398491055
41.65,0.0357004588144
41.701,0.0363032350702
41.772,0.0304027043903
41.787,0.0304399678555
41.905,0.0310278789874
41.951,0.0250980598397
42.009,0.0251551144033
42.08,0.0253626316502
42.116,0.0254582656088
42.192,0.0221829558184
42.267,0.0224781562514
42.343,0.0228343438279
42.399,0.0213427995601
42.47,0.0213556552625
42.51,0.0214390614645
42.557,0.0215059166714
42.628,0.0188865470023
42.666,0.018551130629
42.725,0.018318346918
42.763,0.0182632452669
42.816,0.0207023698854
42.851,0.0212842057921
42.939,0.0228410181273
42.975,0.0238678445735
43.032,0.0296841435181
43.06,0.0309155244471
43.205,0.0346145012906
43.269,0.0390616038562
43.293,0.0423153596811
43.36,0.0459401678744
43.44,0.0450488091375
43.591,0.0580900145674
43.61,0.0560429796221
43.667,0.0623625070829
43.737,0.0623625070829
44.113,0.06381212402
44.113,0.0713836242191
44.185,0.0626500328217
44.237,0.062363208788
44.307,0.0560154362267
44.381,0.0551481737445
